,Rat,Timepoint_Name,Speed_Group,Belt_Speed,Stride,Step_Length,Step_Duration,Stance_Duration,Step_Height,Mean_Asis_Toe_Height,Variation_Asis_Toe_Height,Mean_Asis_Toe_Height_Stance,Variation_Asis_Toe_Height_Stance,Mean_Asis_Toe_Height_Swing,Variation_Asis_Toe_Height_Swing,Mean_Ankle,Variation_Ankle,Mean_Ankle_Stance,Variation_Ankle_Stance,Mean_Ankle_Swing,Variation_Ankle_Swing,Mean_Knee,Variation_Knee,Mean_Knee_Stance,Variation_Knee_Stance,Mean_Knee_Swing,Variation_Knee_Swing,Mean_Hip,Variation_Hip,Mean_Hip_Stance,Variation_Hip_Stance,Mean_Hip_Swing,Variation_Hip_Swing,Max_Asis_Height,Max_Asis_Height_Stance,Max_Asis_Height_Swing,Max_Hip_Height,Max_Hip_Height_Stance,Max_Hip_Height_Swing,Max_Knee_Height,Max_Knee_Height_Stance,Max_Knee_Height_Swing,Max_Ankle_Height,Max_Ankle_Height_Stance,Max_Ankle_Height_Swing,Min_Asis_Height,Min_Asis_Height_Stance,Min_Asis_Height_Swing,Min_Hip_Height,Min_Hip_Height_Stance,Min_Hip_Height_Swing,Min_Knee_Height,Min_Knee_Height_Stance,Min_Knee_Height_Swing,Min_Ankle_Height,Min_Ankle_Height_Stance,Min_Ankle_Height_Swing,Mean_Asis_Height,Mean_Asis_Height_Stance,Mean_Asis_Height_Swing,Mean_Hip_Height,Mean_Hip_Height_Stance,Mean_Hip_Height_Swing,Mean_Knee_Height,Mean_Knee_Height_Stance,Mean_Knee_Height_Swing,Mean_Ankle_Height,Mean_Ankle_Height_Stance,Mean_Ankle_Height_Swing,Mean_Hip_Toe_Height,Mean_Hip_Toe_Height_Stance,Mean_Hip_Toe_Height_Swing,Mean_Knee_Toe_Height,Mean_Knee_Toe_Height_Stance,Mean_Knee_Toe_Height_Swing,Mean_Ankle_Toe_Height,Mean_Ankle_Toe_Height_Stance,Mean_Ankle_Toe_Height_Swing,Unnamed: 0_x,Unnamed: 0_y,Unnamed: 0_x.1,Unnamed: 0_y.1,exptype
22,155,week6,speed24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
57,162,week6,speed24,0.24,3.71875,18.57054738,0.54425,0.36775,17.20634801,58.46707687,4.415408979,60.16215535,2.966581809,54.76461802,3.500300943,66.09082152,15.78628605,67.45068766,14.25176338,63.2681996,28.61833756,71.38418639,7.911570884,73.88740693,5.2320919130000005,66.06881477,8.763362781,109.0010447,15.78628605,108.6062728,15.09047335,109.9606946,16.76426407,70.4908126,67.77387716,68.86074434,55.21720599,52.4402741,53.11152083,28.2824415,25.11859471,25.65758993,30.43021342,22.37928658,30.43021342,58.92146887,60.15991899,62.16395381,41.43021128,42.896149900000005,45.06507759,10.22677466,10.58464185,13.52563894,5.561788879,6.146690947000001,7.25325997,64.56740962,63.55953487,66.38577574,48.23957863,47.12885118,50.30322169,17.92553966,16.73753842,20.12023193,17.97744979,15.72281749,22.59875005,42.13924588,43.73147166,38.68206397,11.98148313,13.35666794,9.033490864,11.87711704,12.32543797,10.97759233,1.0,1.0,1.0,1,dreadds
92,166,week6,speed24,0.24,3.612903226,8.260366793,0.537677419,0.379225806,21.45038728,70.7395573,6.839920767000001,73.73327707,4.330755781000001,63.80037238,6.106379385,59.18009315,17.47762657,60.95682841,16.40457542,55.22305154,20.40329747,75.92954787,13.49870554,78.49211394,11.65523159,70.10227265,14.80430313,129.5950178,17.47762657,129.9195807,14.83720967,128.84581880000002,22.46304636,82.91873224,80.94707687,81.42833248,55.79635743,53.46310367,54.58451464,38.78280382,35.82739318,38.26897628,32.1847941,23.84839698,32.1847941,72.07943911,72.08185669,74.46954951,43.33918225,43.33918225,47.51872688,10.04435329,10.04435329,13.51796513,7.663735197999999,7.876579561000001,11.03944152,76.63389946,76.02038459,78.27941431,48.92461198,47.73031058,52.02078057,21.0857326,19.13374526,25.78973418,16.23303459,13.26876151,23.42808445,43.03026982,45.44320306,37.54173864,15.43489858,16.84663774,12.14393863,10.39114472,10.981654,9.118827312,2.0,2.0,2.0,2,dreadds
127,169,week6,speed24,0.24,3.612903226,20.5766786,0.564774194,0.374709677,16.82462033,50.36597533,5.434442607,52.08618908,3.929442714,46.30949891,4.0694035710000005,74.27583953,11.36914212,74.39055717,22.3234475,72.71890538,34.02797539,66.14948001,9.30362432,67.7688766,6.323870531,63.10153677,10.74765569,116.3094886,11.36914212,114.4010545,9.663026693,119.5798428,12.30652119,65.44789812,63.87286211,61.5052123,50.30660445,48.16756593,46.88455062,24.1804963,22.1459036,20.95226471,27.84197024,23.53396767,27.60807322,51.12889492,52.96120443,53.31715942,35.18641775,36.98490394,37.61355368,9.23640407,12.85084,10.38492277,4.364191214,4.609356651000001,6.604540589,58.92885669,59.06544143,57.98813489999999,43.34277438,43.0587068,43.19627863,16.16184506,17.20258193,14.2139044,18.00532451,16.67801639,20.4924572,34.77989302,36.07945444,31.51764264,9.484851103,10.95849131,6.2119754270000005,9.451057277,9.69876403,8.831596406000001,3.0,3.0,3.0,3,cno
162,172,week6,speed24,0.24,3.64516129,17.52366733,0.541419355,0.373290323,13.02651591,51.23969776,4.569643977,52.69879057,3.418511796,47.94581157,3.298299417,57.10847011,13.21657165,56.76361638,17.71766399,57.86558958,28.59605127,65.47293727,9.079340158,66.67949443,7.76472361,62.97978603,9.884126136,113.8345291,13.21657165,112.2741372,11.62549056,116.9819312,15.10954627,62.62508097,61.24600558,60.71668237,48.13331878,47.16319693,46.61905068,22.96163641,20.65304606,20.16214645,26.65104337,22.73544104,26.59696264,50.57068258,51.95771555,53.02730608,35.13700864,36.96648023,38.43262214,8.00474672,8.867867887000001,9.369444253,5.207961622,5.569547997000001,7.165252525,56.92875095,56.82398276,57.24151532,42.39635401,42.1995375,42.97557182,13.2804117,13.28409935,13.36142872,16.52392577,15.02074547,19.88026614,36.70730082,38.07434532,33.67986808,8.507215621,9.444116853,6.224713846,10.83497518,10.89555329,10.58490317,4.0,4.0,4.0,4,cno
197,173,week6,speed24,0.24,4.512820513,28.07379014,0.432615385,0.272102564,17.13987535,49.11341195,4.620061093,50.99267459,3.367233016,47.38248907,2.6011308580000003,73.70110302,12.81398987,75.24870688,23.13107263,71.36117871,31.48219274,73.75317212,11.228438699999998,75.59357463,9.302145296,69.85436271,11.67941478,106.2419207,12.81398987,104.9299305,11.79126107,108.0971665,13.17675263,62.07631556,59.61538991,60.8834834,48.62773397,46.07843834,47.58118258,18.51356111,16.00187611,16.05794813,27.20349576,20.99286866,25.79613312,51.96560197,52.62562087,54.45541051,38.36193554,39.14923452,40.9951794,8.020281125,8.561777013,10.05879738,9.171528357,9.781932905,11.56215186,56.75114393,55.77995304,58.375853500000005,43.43131771,42.42752313,45.07089247,12.23547024,11.89316822,13.10810355,17.98028164,16.51610111,20.47361376,36.36686364,38.19723974,34.52009121,6.35595959,8.410246398,4.505093529,9.968382137,11.31610681,9.223948696,5.0,5.0,5.0,5,cno
232,174,week6,speed24,0.24,3.448275862,20.96198551,0.562896552,0.392965517,16.77043251,54.13996027,5.91713228,57.02638601,3.587095755,47.69385625,4.373791454,72.79371997,14.28193768,74.37158635,11.06622984,69.05629121,24.65831232,70.75296016,9.693546376,72.67804406,6.407381785,67.39989631,11.80555962,107.7243105,14.28193768,108.74340990000002,12.33025737,104.6822065,17.16551524,64.28988869,63.67196155,61.12945431,52.45442296,51.56697893,50.25287601,33.30853255,29.67378066,31.65842843,24.82769694,19.10411784,24.82769694,53.18171295,55.13287049,54.23197931,41.82032354,43.81626396,43.37357035,13.25626602,13.76919341,13.62833983,5.436165292999999,4.551042385,6.530577114,59.44739818,60.14695689,57.66907788,47.81660328,48.1140965,47.08449347,21.77769879,21.225829,22.84827398,14.89466643,13.69855383,17.17827348,42.57592822,44.99352562,37.45948403,16.93934878,18.28315776,14.34087009,10.15291447,10.57798296,9.948036336,6.0,6.0,6.0,6,cno
267,190,week6,speed24,0.24,3.612903226,10.9934926,0.5514838710000001,0.362322581,19.63024106,68.83741083,6.632698977,72.96696631,3.049053777,61.06122629,3.834074157,88.48244403,14.74709455,94.77712191,9.829422374,76.70163127,26.21992429,100.8028193,11.54209931,107.1005818,4.419621274,88.68828752,10.74588003,109.5553697,14.74709455,109.8772893,13.59802667,108.9580626,16.55665588,79.77575165,79.19371184,76.92175124,67.67872133,66.67558979,65.33252382,40.55649806,37.82090286,39.43312721,30.65039302,23.68342556,30.65039302,72.58170722,72.83814003,73.52855868,60.22524171,60.63103098,,27.10947929,27.68903628,27.61140667,8.353162954,8.733740773,12.1757136,76.1086648,76.3944241,75.49703604,63.83712009,63.75508488,63.83588923,32.1456072,31.65906354,32.92914621,19.2313044,16.10853811,25.04013722,,,49.40007948,24.87435323,,18.49333646,11.96005043,12.68108032,10.60432747,7.0,7.0,7.0,7,cno
302,191,week6,speed24,0.24,3.71875,13.50878804,0.532875,0.364375,18.11605798,55.23141843,6.729154522999999,57.67403116,5.386562871000001,50.2788168,5.798881584,68.64192169,14.71551423,68.25454487,10.18131736,69.49943297,24.8905376,73.4354342,11.19234087,77.83141222,6.7102609,64.19273571,11.97878229,122.038346,14.71551423,122.30712920000002,14.07109408,121.1532787,15.67901332,67.11114192,65.91184416,65.44240352,53.11029097,51.64952601,51.6987026,29.55083242,27.69295135,28.01402879,30.782854800000003,24.31358562,30.6841803,56.85964582,56.9258603,58.76085789,43.36792163,43.40120074,45.63189955,9.828918524,9.931173703,12.13548303,6.14083937,6.229051947,7.830144726,62.03004495,61.70414272,62.81090347,48.23067166,47.6382592,49.60415169,17.58518726,16.85685844,19.24526225,18.4288065,16.176861499999998,23.15815508,41.43204513,43.60814764,37.07206502,11.5514874,12.96180942,8.579282198,11.72744964,12.14674993,10.84418827,8.0,8.0,8.0,8,cno
337,195,week6,speed24,0.24,3.612903226,18.67979199,0.536774194,0.364129032,12.54133181,49.26592842,6.155381114,51.41645031,5.572606211,44.86363351,3.785650341,69.31267523,18.54621738,67.48694497,14.54455886,73.39313345,32.33205564,53.68779178,9.643891991,56.83550155,6.386286988999999,47.70098808,9.783317356,101.3202338,18.54621738,101.1304941,18.34552474,101.4811364,18.8580185,61.62377208,61.03024827,56.59386287,46.81869127,46.32335021,41.18242745,25.3959521,23.83907752,23.49845571,24.01468097,21.93266432,23.91222218,48.72939568,49.08438868,49.82589183,34.1579984,34.71423104,35.26392821,3.404517347,3.915274794,3.944236861,4.970561663,5.174340026,6.659050794,55.2987676,56.11039949,53.85406972,40.39733923,41.35870192,38.79189667,12.44952821,12.89920857,11.79868762,16.92406828,16.50340013,17.94855062,34.36450005,36.66475274,29.80146046,10.40269914,11.55445072,8.081660272,10.8912291,11.80945095,8.958114406,9.0,9.0,9.0,9,dreadds
